e_slash_star_pie,e_slash_star_lin,lambda_H_pie,lambda_H_lin,lambda_H_slash_star_pie,lambda_H_slash_star_lin,lambda_F_slash_star_pie,lambda_F_slash_star_lin,lambda_F_pie,lambda_F_lin,utility_H_with_delta_pie,utility_H_with_delta_lin,utility_F_with_delta_pie,utility_F_with_delta_lin,utility_H_without_delta_pie,utility_H_without_delta_lin,utility_F_without_delta_pie,utility_F_without_delta_lin,gamma_H_pie,gamma_H_lin,chi_H_pie,chi_H_lin,p_H_pie,p_H_lin,p_F_star_pie,p_F_star_lin,i_H_notional_pie,i_H_notional_lin,i_H_pie,i_H_lin,i_F_pie,i_F_lin,c_H_W_pie,c_H_W_lin,c_F_W_pie,c_F_W_lin,c_H_H_pie,c_H_H_lin,c_F_H_pie,c_F_H_lin,c_H_F_pie,c_H_F_lin,c_F_F_pie,c_F_F_lin,y_H_pie,y_H_lin,y_F_pie,y_F_lin,l_H_pie,l_H_lin,l_F_pie,l_F_lin,p_H_W_pie,p_H_W_lin,p_F_W_star_pie,p_F_W_star_lin,p_H_W_bar_pie,p_H_W_bar_lin,p_F_W_star_bar_pie,p_F_W_star_bar_lin,p_H_bar_pie,p_H_bar_lin,p_F_star_bar_pie,p_F_star_bar_lin,p_H_bar_y_H_pie,p_H_bar_y_H_lin,p_H_W_c_H_W_pie,p_H_W_c_H_W_lin,p_H_W_slash_p_H_pie,p_H_W_slash_p_H_lin,pi_H_pie,pi_H_lin,pi_F_star_pie,pi_F_star_lin,pi_H_W_pie,pi_H_W_lin,pi_F_W_star_pie,pi_F_W_star_lin,p_H_tilde_pie,p_H_tilde_lin,p_F_star_tilde_pie,p_F_star_tilde_lin,v_H_pie,v_H_lin,v_F_pie,v_F_lin,w_H_pie,w_H_lin,w_F_pie,w_F_lin,p_F_bar_pie,p_F_bar_lin,p_H_star_bar_pie,p_H_star_bar_lin,t_H_pie,t_H_lin,t_F_pie,t_F_lin,b_H_pie,b_H_lin,b_F_star_pie,b_F_star_lin,beta_H_pie,beta_H_lin,beta_F_pie,beta_F_lin,a_H_pie,a_H_lin,a_F_pie,a_F_lin,tau_H_pie,tau_H_lin,tau_F_pie,tau_F_lin,Delta_H_pie,Delta_H_lin,Delta_F_pie,Delta_F_lin
-5.3420607e-15,-5.3420607e-15,-1.9413495e-15,-1.9413495e-15,-7.2834103e-15,-7.2834103e-15,6.3809003e-16,6.3809003e-16,-1.9413495e-15,5.9801508e-15,-0.07273336,-0.07273336,-6.5245586e-06,-6.5245586e-06,-0.072732611,-0.072732611,-6.5245586e-06,-6.5245586e-06,2.3677444e-18,2.3677444e-18,0,0,4.3497058e-05,4.3497058e-05,8.0027423e-18,8.0027423e-18,4.8444398e-15,4.8444398e-15,4.8451944e-15,4.8451944e-15,-7.7335942e-17,-7.7335942e-17,-3.6972499e-05,-3.6972499e-05,-6.5245586e-06,-6.5245586e-06,-3.6972499e-05,-3.6972499e-05,-6.5245586e-06,-6.5245586e-06,1.0911253e-15,1.0911253e-15,-5.4901058e-16,-5.4901058e-16,-4.3497058e-05,-4.3497058e-05,5.4234939e-16,5.4234939e-16,0.099956503,0.099956503,5.9121422e-16,5.9121422e-16,3.6972499e-05,3.6972499e-05,6.5245586e-06,6.5245586e-06,3.6972499e-05,3.6972499e-05,6.5245586e-06,6.5245586e-06,4.3497058e-05,4.3497058e-05,9.9944632e-18,9.9944632e-18,7.4016449e-16,7.4016449e-16,1.9385535e-15,1.9385535e-15,-6.5245586e-06,-6.5245586e-06,4.3497058e-05,4.3497058e-05,1.2788967e-17,1.2788967e-17,3.6972499e-05,3.6972499e-05,6.5245586e-06,6.5245586e-06,0.0043497058,0.0043497058,3.704485e-17,3.704485e-17,2.8128449,2.8128449,8.3141835e-15,8.3141835e-15,0.3010073,0.3010073,7.7359944e-15,7.7359944e-15,-5.3320663e-15,-5.3320663e-15,4.3497058e-05,4.3497058e-05,1.4643349e-16,1.4643349e-16,1.099789e-16,1.099789e-16,-1.208858e-15,-1.208858e-15,1.208858e-15,1.208858e-15,6.1323107e-19,6.1323107e-19,1.0152152e-18,1.0152152e-18,-0.1,-0.1,0,0,0,0,0,0,1.0301907e-06,1.0301907e-06,2.6987015e-33,2.6987015e-33
-1.567489e-15,-1.567489e-15,-6.7636725e-15,-6.7636725e-15,-8.3311615e-15,-8.3311615e-15,7.1514714e-16,7.1514714e-16,-6.7636725e-15,2.2826361e-15,-0.069102716,-0.069102716,-1.2702647e-05,-1.2702647e-05,-0.069101302,-0.069101302,-1.2702647e-05,-1.2702647e-05,-1.0798325e-15,-1.0798325e-15,3.1806449e-17,3.1806449e-17,8.4684311e-05,8.4684311e-05,1.0481738e-16,1.0481738e-16,2.8009029e-15,2.8009029e-15,1.9169466e-16,1.9169466e-16,4.5210837e-17,4.5210837e-17,-7.1981664e-05,-7.1981664e-05,-1.2702647e-05,-1.2702647e-05,-7.1981664e-05,-7.1981664e-05,-1.2702647e-05,-1.2702647e-05,1.1900117e-15,1.1900117e-15,-6.847352e-16,-6.847352e-16,-8.4684311e-05,-8.4684311e-05,5.1267875e-16,5.1267875e-16,0.094915316,0.094915316,7.398643e-16,7.398643e-16,7.1981664e-05,7.1981664e-05,1.2702647e-05,1.2702647e-05,7.1981664e-05,7.1981664e-05,1.2702647e-05,1.2702647e-05,8.4684311e-05,8.4684311e-05,1.8008311e-17,1.8008311e-17,3.1567224e-15,3.1567224e-15,6.4214178e-15,6.4214178e-15,-1.2702647e-05,-1.2702647e-05,4.1187254e-05,4.1187254e-05,3.2017652e-17,3.2017652e-17,3.5009166e-05,3.5009166e-05,6.178088e-06,6.178088e-06,0.0041622224,0.0041622224,4.8233165e-17,4.8233165e-17,2.7072308,2.7072308,9.8892938e-15,9.8892938e-15,0.3052224,0.3052224,9.0408161e-15,9.0408161e-15,-1.5494886e-15,-1.5494886e-15,8.4684311e-05,8.4684311e-05,1.0153597e-15,1.0153597e-15,1.2859906e-16,1.2859906e-16,-2.2065845e-15,-2.2065845e-15,2.2065845e-15,2.2065845e-15,6.4491842e-19,6.4491842e-19,1.4598133e-18,1.4598133e-18,-0.095,-0.095,-5.9329857e-18,-5.9329857e-18,-3.2804052e-18,-3.2804052e-18,5.1041217e-18,5.1041217e-18,1.9435731e-06,1.9435731e-06,1.8938672e-32,1.8938672e-32
-3.9184759e-15,-3.9184759e-15,-4.3327655e-15,-4.3327655e-15,-8.2512414e-15,-8.2512414e-15,7.0165141e-16,7.0165141e-16,-4.3327655e-15,4.6201273e-15,-0.065653544,-0.065653544,-1.855165e-05,-1.855165e-05,-0.065651542,-0.065651542,-1.855165e-05,-1.855165e-05,2.9100741e-16,2.9100741e-16,5.9366457e-17,5.9366457e-17,0.00012367767,0.00012367767,1.08456e-16,1.08456e-16,6.5213361e-15,6.5213361e-15,3.9867576e-15,3.9867576e-15,4.4613405e-17,4.4613405e-17,-0.00010512602,-0.00010512602,-1.855165e-05,-1.855165e-05,-0.00010512602,-0.00010512602,-1.855165e-05,-1.855165e-05,1.179375e-15,1.179375e-15,-6.7661872e-16,-6.7661872e-16,-0.00012367767,-0.00012367767,5.0976678e-16,5.0976678e-16,0.090126322,0.090126322,8.7012181e-16,8.7012181e-16,0.00010512602,0.00010512602,1.855165e-05,1.855165e-05,0.00010512602,0.00010512602,1.855165e-05,1.855165e-05,0.00012367767,0.00012367767,2.633693e-17,2.633693e-17,8.3478146e-16,8.3478146e-16,4.0057882e-15,4.0057882e-15,-1.855165e-05,-1.855165e-05,3.8993358e-05,3.8993358e-05,3.2018771e-17,3.2018771e-17,3.3144355e-05,3.3144355e-05,5.8490038e-06,5.8490038e-06,0.0039840202,0.0039840202,5.7104527e-17,5.7104527e-17,2.6067887,2.6067887,1.0242393e-14,1.0242393e-14,0.30916697,0.30916697,9.0942079e-15,9.0942079e-15,-3.8921583e-15,-3.8921583e-15,0.00012367767,0.00012367767,5.3414793e-16,5.3414793e-16,1.3314603e-16,1.3314603e-16,-3.1998365e-15,-3.1998365e-15,3.1998365e-15,3.1998365e-15,6.7667746e-19,6.7667746e-19,1.8415718e-18,1.8415718e-18,-0.09025,-0.09025,-1.1356152e-17,-1.1356152e-17,-5.743863e-18,-5.743863e-18,9.5050789e-18,9.5050789e-18,2.7520398e-06,2.7520398e-06,3.1119832e-32,3.1119832e-32
-2.4204651e-15,-2.4204651e-15,-5.753091e-15,-5.753091e-15,-8.1735561e-15,-8.1735561e-15,6.8744815e-16,6.8744815e-16,-5.753091e-15,3.1079133e-15,-0.062376775,-0.062376775,-2.4088087e-05,-2.4088087e-05,-0.062374254,-0.062374254,-2.4088087e-05,-2.4088087e-05,-6.2269662e-16,-6.2269662e-16,8.3156332e-17,8.3156332e-17,0.00016058725,0.00016058725,1.126205e-16,1.126205e-16,3.7368575e-15,3.7368575e-15,1.2733438e-15,1.2733438e-15,4.4030914e-17,4.4030914e-17,-0.00013649916,-0.00013649916,-2.4088087e-05,-2.4088087e-05,-0.00013649916,-0.00013649916,-2.4088087e-05,-2.4088087e-05,1.1689003e-15,1.1689003e-15,-6.6833582e-16,-6.6833582e-16,-0.00016058724,-0.00016058724,5.0720291e-16,5.0720291e-16,0.085576913,0.085576913,9.669531e-16,9.669531e-16,0.00013649916,0.00013649916,2.4088087e-05,2.4088087e-05,0.00013649916,0.00013649916,2.4088087e-05,2.4088087e-05,0.00016058724,0.00016058724,3.4955848e-17,3.4955848e-17,2.3591426e-15,2.3591426e-15,5.4405536e-15,5.4405536e-15,-2.4088087e-05,-2.4088087e-05,3.6909575e-05,3.6909575e-05,3.200835e-17,3.200835e-17,3.1373139e-05,3.1373139e-05,5.5364363e-06,5.5364363e-06,0.0038146352,0.0038146352,6.6213135e-17,6.6213135e-17,2.5112603,2.5112603,1.0620386e-14,1.0620386e-14,0.31285472,0.31285472,9.1659765e-15,9.1659765e-15,-2.385545e-15,-2.385545e-15,0.00016058725,0.00016058725,8.2360941e-16,8.2360941e-16,1.3724435e-16,1.3724435e-16,-4.1886365e-15,-4.1886365e-15,4.1886365e-15,4.1886365e-15,7.0845695e-19,7.0845695e-19,2.1676659e-18,2.1676659e-18,-0.0857375,-0.0857375,-1.630539e-17,-1.630539e-17,-7.4975214e-18,-7.4975214e-18,1.3282632e-17,1.3282632e-17,3.4663009e-06,3.4663009e-06,4.0244692e-32,4.0244692e-32
-3.5529814e-15,-3.5529814e-15,-4.5450284e-15,-4.5450284e-15,-8.0980098e-15,-8.0980098e-15,6.7262209e-16,6.7262209e-16,-4.5450284e-15,4.2256035e-15,-0.059263792,-0.059263792,-2.9327646e-05,-2.9327646e-05,-0.059260814,-0.059260814,-2.9327646e-05,-2.9327646e-05,2.5939512e-17,2.5939512e-17,1.0360217e-16,1.0360217e-16,0.00019551764,0.00019551764,1.1727588e-16,1.1727588e-16,5.4160661e-15,5.4160661e-15,3.0201819e-15,3.0201819e-15,4.346267e-17,4.346267e-17,-0.00016619,-0.00016619,-2.9327646e-05,-2.9327646e-05,-0.00016619,-0.00016619,-2.9327646e-05,-2.9327646e-05,1.1585805e-15,1.1585805e-15,-6.5992936e-16,-6.5992936e-16,-0.00019551764,-0.00019551764,5.0493613e-16,5.0493613e-16,0.081255107,0.081255107,1.0387098e-15,1.0387098e-15,0.00016619,0.00016619,2.9327646e-05,2.9327646e-05,0.00016619,0.00016619,2.9327646e-05,2.9327646e-05,0.00019551764,0.00019551764,4.3841847e-17,4.3841847e-17,1.2504104e-15,1.2504104e-15,4.2463049e-15,4.2463049e-15,-2.9327646e-05,-2.9327646e-05,3.4930398e-05,3.4930398e-05,3.1987005e-17,3.1987005e-17,2.9690838e-05,2.9690838e-05,5.2395597e-06,5.2395597e-06,0.003653627,0.003653627,7.553852e-17,7.553852e-17,2.4204004,2.4204004,1.1021421e-14,1.1021421e-14,0.31629869,0.31629869,9.2548613e-15,9.2548613e-15,-3.5091434e-15,-3.5091434e-15,0.00019551764,0.00019551764,5.877362e-16,5.877362e-16,1.4094814e-16,1.4094814e-16,-5.1730121e-15,-5.1730121e-15,5.1730121e-15,5.1730121e-15,7.4020931e-19,7.4020931e-19,2.4445087e-18,2.4445087e-18,-0.081450625,-0.081450625,-2.0814276e-17,-2.0814276e-17,-8.6365379e-18,-8.6365379e-18,1.6508093e-17,1.6508093e-17,4.0960001e-06,4.0960001e-06,4.7065799e-32,4.7065799e-32
-2.8812504e-15,-2.8812504e-15,-5.1431997e-15,-5.1431997e-15,-8.0244501e-15,-8.0244501e-15,6.5725002e-16,6.5725002e-16,-5.1431997e-15,3.5385004e-15,-0.056306411,-0.056306411,-3.4285235e-05,-3.4285235e-05,-0.056303029,-0.056303029,-3.4285235e-05,-3.4285235e-05,-3.9586229e-16,-3.9586229e-16,1.2108501e-16,1.2108501e-16,0.00022856824,0.00022856824,1.2238896e-16,1.2238896e-16,4.0514243e-15,4.0514243e-15,1.7200645e-15,1.7200645e-15,4.290806e-17,4.290806e-17,-0.000194283,-0.000194283,-3.4285235e-05,-3.4285235e-05,-0.000194283,-0.000194283,-3.4285235e-05,-3.4285235e-05,1.1484087e-15,1.1484087e-15,-6.5143699e-16,-6.5143699e-16,-0.00022856824,-0.00022856824,5.0292104e-16,5.0292104e-16,0.077149526,0.077149526,1.0916528e-15,1.0916528e-15,0.000194283,0.000194283,3.4285235e-05,3.4285235e-05,0.000194283,0.000194283,3.4285235e-05,3.4285235e-05,0.00022856824,0.00022856824,5.2972936e-17,5.2972936e-17,1.9435679e-15,1.9435679e-15,4.8576052e-15,4.8576052e-15,-3.4285235e-05,-3.4285235e-05,3.3050594e-05,3.3050594e-05,3.1955356e-17,3.1955356e-17,2.8093005e-05,2.8093005e-05,4.9575891e-06,4.9575891e-06,0.003500577,0.003500577,8.5061393e-17,8.5061393e-17,2.3339758,2.3339758,1.1443756e-14,1.1443756e-14,0.31951124,0.31951124,9.3596767e-15,9.3596767e-15,-2.8283106e-15,-2.8283106e-15,0.00022856824,0.00022856824,7.1339443e-16,7.1339443e-16,1.4430542e-16,1.4430542e-16,-6.1529945e-15,-6.1529945e-15,6.1529945e-15,6.1529945e-15,7.7189045e-19,7.7189045e-19,2.6778301e-18,2.6778301e-18,-0.077378094,-0.077378094,-2.4914214e-17,-2.4914214e-17,-9.2453423e-18,-9.2453423e-18,1.9245197e-17,1.9245197e-17,4.6498202e-06,4.6498202e-06,5.2148238e-32,5.2148238e-32
-3.44029e-15,-3.44029e-15,-4.5125116e-15,-4.5125116e-15,-7.9528016e-15,-7.9528016e-15,6.4140153e-16,6.4140153e-16,-4.5125116e-15,4.0816916e-15,-0.053496852,-0.053496852,-3.8975014e-05,-3.8975014e-05,-0.053493117,-0.053493117,-3.8975014e-05,-3.8975014e-05,-8.6102109e-17,-8.6102109e-17,1.3594547e-16,1.3594547e-16,0.00025983343,0.00025983343,1.279283e-16,1.279283e-16,4.7806169e-15,4.7806169e-15,2.5106392e-15,2.5106392e-15,4.2366544e-17,4.2366544e-17,-0.00022085842,-0.00022085842,-3.8975014e-05,-3.8975014e-05,-0.00022085842,-0.00022085842,-3.8975014e-05,-3.8975014e-05,1.1383785e-15,1.1383785e-15,-6.4289167e-16,-6.4289167e-16,-0.00025983343,-0.00025983343,5.011173e-16,5.011173e-16,0.073249356,0.073249356,1.1304749e-15,1.1304749e-15,0.00022085842,0.00022085842,3.8975014e-05,3.8975014e-05,0.00022085842,0.00022085842,3.8975014e-05,3.8975014e-05,0.00025983343,0.00025983343,6.2328309e-17,6.2328309e-17,1.4036623e-15,1.4036623e-15,4.2392847e-15,4.2392847e-15,-3.8975014e-05,-3.8975014e-05,3.1265193e-05,3.1265193e-05,3.1914014e-17,3.1914014e-17,2.6575414e-05,2.6575414e-05,4.689779e-06,4.689779e-06,0.0033550876,0.0033550876,9.4763598e-17,9.4763598e-17,2.2517651,2.2517651,1.1885751e-14,1.1885751e-14,0.32250413,0.32250413,9.4793076e-15,9.4793076e-15,-3.3779509e-15,-3.3779509e-15,0.00025983343,0.00025983343,5.934804e-16,5.934804e-16,1.4735877e-16,1.4735877e-16,-7.1286185e-15,-7.1286185e-15,7.1286185e-15,7.1286185e-15,8.0345955e-19,8.0345955e-19,2.8727466e-18,2.8727466e-18,-0.073509189,-0.073509189,-2.8634571e-17,-2.8634571e-17,-9.3987698e-18,-9.3987698e-18,2.1550876e-17,2.1550876e-17,5.1355775e-06,5.1355775e-06,5.59165e-32,5.59165e-32
-3.1529186e-15,-3.1529186e-15,-4.7300091e-15,-4.7300091e-15,-7.8829277e-15,-7.8829277e-15,6.2513964e-16,6.2513964e-16,-4.7300091e-15,3.7780582e-15,-0.050827728,-0.050827728,-4.3410436e-05,-4.3410436e-05,-0.050823685,-0.050823685,-4.3410436e-05,-4.3410436e-05,-2.7793501e-16,-2.7793501e-16,1.4848787e-16,1.4848787e-16,0.00028940291,0.00028940291,1.3386415e-16,1.3386415e-16,4.0868802e-15,4.0868802e-15,1.8754703e-15,1.8754703e-15,4.183764e-17,4.183764e-17,-0.00024599247,-0.00024599247,-4.3410436e-05,-4.3410436e-05,-0.00024599247,-0.00024599247,-4.3410436e-05,-4.3410436e-05,1.1284837e-15,1.1284837e-15,-6.3432218e-16,-6.3432218e-16,-0.00028940291,-0.00028940291,4.9948911e-16,4.9948911e-16,0.069544327,0.069544327,1.1586941e-15,1.1586941e-15,0.00024599247,0.00024599247,4.3410436e-05,4.3410436e-05,0.00024599247,0.00024599247,4.3410436e-05,4.3410436e-05,0.00028940291,0.00028940291,7.1888316e-17,7.1888316e-17,1.7077268e-15,1.7077268e-15,4.4687019e-15,4.4687019e-15,-4.3410436e-05,-4.3410436e-05,2.9569475e-05,2.9569475e-05,3.1863586e-17,3.1863586e-17,2.5134054e-05,2.5134054e-05,4.4354213e-06,4.4354213e-06,0.003216781,0.003216781,1.0462807e-16,1.0462807e-16,2.173558,2.173558,1.2345864e-14,1.2345864e-14,0.32528853,0.32528853,9.6127062e-15,9.6127062e-15,-3.0810658e-15,-3.0810658e-15,0.00028940291,0.00028940291,6.4336982e-16,6.4336982e-16,1.5014592e-16,1.5014592e-16,-8.0999216e-15,-8.0999216e-15,8.0999216e-15,8.0999216e-15,8.3487889e-19,8.3487889e-19,3.0338249e-18,3.0338249e-18,-0.06983373,-0.06983373,-3.20028e-17,-3.20028e-17,-9.1630786e-18,-9.1630786e-18,2.3475969e-17,2.3475969e-17,5.5603074e-06,5.5603074e-06,5.8689629e-32,5.8689629e-32
-3.4402797e-15,-3.4402797e-15,-4.3746194e-15,-4.3746194e-15,-7.8148991e-15,-7.8148991e-15,6.0852138e-16,6.0852138e-16,-4.3746194e-15,4.048801e-15,-0.048292021,-0.048292021,-4.7604279e-05,-4.7604279e-05,-0.048287708,-0.048287708,-4.7604279e-05,-4.7604279e-05,-1.2773956e-16,-1.2773956e-16,1.5898402e-16,1.5898402e-16,0.00031736186,0.00031736186,1.4016837e-16,1.4016837e-16,4.3759879e-15,4.3759879e-15,2.2202661e-15,2.2202661e-15,4.1320919e-17,4.1320919e-17,-0.00026975758,-0.00026975758,-4.7604279e-05,-4.7604279e-05,-0.00026975758,-0.00026975758,-4.7604279e-05,-4.7604279e-05,1.1187183e-15,1.1187183e-15,-6.2575358e-16,-6.2575358e-16,-0.00031736186,-0.00031736186,4.9800476e-16,4.9800476e-16,0.066024681,0.066024681,1.1789469e-15,1.1789469e-15,0.00026975758,0.00026975758,4.7604279e-05,4.7604279e-05,0.00026975758,0.00026975758,4.7604279e-05,4.7604279e-05,0.00031736186,0.00031736186,8.1634418e-17,8.1634418e-17,1.4351042e-15,1.4351042e-15,4.1244135e-15,4.1244135e-15,-4.7604279e-05,-4.7604279e-05,2.7958954e-05,2.7958954e-05,3.1804664e-17,3.1804664e-17,2.3765111e-05,2.3765111e-05,4.1938431e-06,4.1938431e-06,0.0030852983,0.0030852983,1.1463877e-16,1.1463877e-16,2.0991545,2.0991545,1.282265e-14,1.282265e-14,0.32787504,0.32787504,9.758888e-15,9.758888e-15,-3.3586557e-15,-3.3586557e-15,0.00031736186,0.00031736186,5.787667e-16,5.787667e-16,1.5270026e-16,1.5270026e-16,-9.0669433e-15,-9.0669433e-15,9.0669433e-15,9.0669433e-15,8.6611365e-19,8.6611365e-19,3.1651389e-18,3.1651389e-18,-0.066342043,-0.066342043,-3.5044556e-17,-3.5044556e-17,-8.5968616e-18,-8.5968616e-18,2.5065843e-17,2.5065843e-17,5.9303417e-06,5.9303417e-06,6.0707576e-32,6.0707576e-32
-3.3299421e-15,-3.3299421e-15,-4.4184536e-15,-4.4184536e-15,-7.7483957e-15,-7.7483957e-15,5.9159835e-16,5.9159835e-16,-4.4184536e-15,3.9215404e-15,-0.04588306,-0.04588306,-5.1568684e-05,-5.1568684e-05,-0.045878513,-0.045878513,-5.1568684e-05,-5.1568684e-05,-2.1248671e-16,-2.1248671e-16,1.6767655e-16,1.6767655e-16,0.00034379123,0.00034379123,1.4681437e-16,1.4681437e-16,4.0012807e-15,4.0012807e-15,1.8987228e-15,1.8987228e-15,4.0815994e-17,4.0815994e-17,-0.00029222254,-0.00029222254,-5.1568684e-05,-5.1568684e-05,-0.00029222254,-0.00029222254,-5.1568684e-05,-5.1568684e-05,1.1090769e-15,1.1090769e-15,-6.172076e-16,-6.172076e-16,-0.00034379123,-0.00034379123,4.9663617e-16,4.9663617e-16,0.06268115,0.06268115,1.1932096e-15,1.1932096e-15,0.00029222254,0.00029222254,5.1568684e-05,5.1568684e-05,0.00029222254,0.00029222254,5.1568684e-05,5.1568684e-05,0.00034379123,0.00034379123,9.1549148e-17,9.1549148e-17,1.5579985e-15,1.5579985e-15,4.1789489e-15,4.1789489e-15,-5.1568684e-05,-5.1568684e-05,2.6429369e-05,2.6429369e-05,3.1737826e-17,3.1737826e-17,2.2464963e-05,2.2464963e-05,3.9644053e-06,3.9644053e-06,0.0029602987,0.0029602987,1.2478066e-16,1.2478066e-16,2.0283649,2.0283649,1.3314749e-14,1.3314749e-14,0.33027374,0.33027374,9.9169282e-15,9.9169282e-15,-3.2383619e-15,-3.2383619e-15,0.00034379123,0.00034379123,5.9408763e-16,5.9408763e-16,1.5505133e-16,1.5505133e-16,-1.0029725e-14,-1.0029725e-14,1.0029725e-14,1.0029725e-14,8.9713177e-19,8.9713177e-19,3.2703208e-18,3.2703208e-18,-0.063024941,-0.063024941,-3.7783813e-17,-3.7783813e-17,-7.7518657e-18,-7.7518657e-18,2.6360967e-17,2.6360967e-17,6.2513778e-06,6.2513778e-06,6.2150961e-32,6.2150961e-32
-3.4875624e-15,-3.4875624e-15,-4.195955e-15,-4.195955e-15,-7.6835174e-15,-7.6835174e-15,5.7441721e-16,5.7441721e-16,-4.195955e-15,4.0619796e-15,-0.043594511,-0.043594511,-5.5315185e-05,-5.5315185e-05,-0.043589763,-0.043589763,-5.5315185e-05,-5.5315185e-05,-1.3729171e-16,-1.3729171e-16,1.7478193e-16,1.7478193e-16,0.0003687679,0.0003687679,1.5377707e-16,1.5377707e-16,4.0894223e-15,4.0894223e-15,2.0376302e-15,2.0376302e-15,4.0322518e-17,4.0322518e-17,-0.00031345271,-0.00031345271,-5.5315185e-05,-5.5315185e-05,-0.00031345271,-0.00031345271,-5.5315185e-05,-5.5315185e-05,1.0995542e-15,1.0995542e-15,-6.08703e-16,-6.08703e-16,-0.0003687679,-0.0003687679,4.9535857e-16,4.9535857e-16,0.059504926,0.059504926,1.2029634e-15,1.2029634e-15,0.00031345271,0.00031345271,5.5315185e-05,5.5315185e-05,0.00031345271,0.00031345271,5.5315185e-05,5.5315185e-05,0.0003687679,0.0003687679,1.0161607e-16,1.0161607e-16,1.4111433e-15,1.4111433e-15,3.9666621e-15,3.9666621e-15,-5.5315185e-05,-5.5315185e-05,2.4976671e-05,2.4976671e-05,3.1663635e-17,3.1663635e-17,2.123017e-05,2.123017e-05,3.7465006e-06,3.7465006e-06,0.0028414583,0.0028414583,1.3503966e-16,1.3503966e-16,1.9610087,1.9610087,1.3820885e-14,1.3820885e-14,0.33249419,0.33249419,1.0085959e-14,1.0085959e-14,-3.3859668e-15,-3.3859668e-15,0.0003687679,0.0003687679,5.561553e-16,5.561553e-16,1.5722524e-16,1.5722524e-16,-1.098831e-14,-1.098831e-14,1.098831e-14,1.098831e-14,9.2790377e-19,9.2790377e-19,3.3526066e-18,3.3526066e-18,-0.059873694,-0.059873694,-4.0242963e-17,-4.0242963e-17,-6.6737249e-18,-6.6737249e-18,2.7397412e-17,2.7397412e-17,6.5285417e-06,6.5285417e-06,6.3155887e-32,6.3155887e-32
-3.4572654e-15,-3.4572654e-15,-4.1626493e-15,-4.1626493e-15,-7.6199147e-15,-7.6199147e-15,5.570201e-16,5.570201e-16,-4.1626493e-15,4.0142855e-15,-0.041420354,-0.041420354,-5.8854737e-05,-5.8854737e-05,-0.041415433,-0.041415433,-5.8854737e-05,-5.8854737e-05,-1.725415e-16,-1.725415e-16,1.8049318e-16,1.8049318e-16,0.00039236491,0.00039236491,1.6103278e-16,1.6103278e-16,3.8687937e-15,3.8687937e-15,1.8651586e-15,1.8651586e-15,3.9840176e-17,3.9840176e-17,-0.00033351018,-0.00033351018,-5.8854737e-05,-5.8854737e-05,-0.00033351018,-0.00033351018,-5.8854737e-05,-5.8854737e-05,1.090145e-15,1.090145e-15,-6.0025589e-16,-6.0025589e-16,-0.00039236491,-0.00039236491,4.9415011e-16,4.9415011e-16,0.056487644,0.056487644,1.2093185e-15,1.2093185e-15,0.00033351018,0.00033351018,5.8854737e-05,5.8854737e-05,0.00033351018,0.00033351018,5.8854737e-05,5.8854737e-05,0.00039236491,0.00039236491,1.1181974e-16,1.1181974e-16,1.4502288e-15,1.4502288e-15,3.9429723e-15,3.9429723e-15,-5.8854737e-05,-5.8854737e-05,2.3597015e-05,2.3597015e-05,3.1582634e-17,3.1582634e-17,2.0057463e-05,2.0057463e-05,3.5395523e-06,3.5395523e-06,0.0027284694,0.0027284694,1.4540256e-16,1.4540256e-16,1.8969147,1.8969147,1.4339864e-14,1.4339864e-14,0.33454551,0.33454551,1.0265164e-14,1.0265164e-14,-3.3455028e-15,-3.3455028e-15,0.00039236491,0.00039236491,5.5608885e-16,5.5608885e-16,1.5924501e-16,1.5924501e-16,-1.1942741e-14,-1.1942741e-14,1.1942741e-14,1.1942741e-14,9.5840258e-19,9.5840258e-19,3.4148779e-18,3.4148779e-18,-0.056880009,-0.056880009,-4.2442915e-17,-4.2442915e-17,-5.4026193e-18,-5.4026193e-18,2.8207318e-17,2.8207318e-17,6.7664443e-06,6.7664443e-06,6.382505e-32,6.382505e-32
